"","precio","lat","long","x","y","optional"
"1",2.5,24.766076,-107.359623,-107.359623,24.766076,TRUE
"2",1.95,19.6179529,-99.0061886,-99.0061886,19.6179529,TRUE
"3",1.8,25.666663,-100.26448,-100.26448,25.666663,TRUE
"4",2,19.3717075,-99.0934234,-99.0934234,19.3717075,TRUE
"5",2,25.553975,-103.425525,-103.425525,25.553975,TRUE
"6",1.8,21.073447,-101.686457,-101.686457,21.073447,TRUE
"7",2.2,20.986013,-89.664373,-89.664373,20.986013,TRUE
"8",2,20.105039,-98.752935,-98.752935,20.105039,TRUE
"9",1.8,19.087645,-98.190344,-98.190344,19.087645,TRUE
"10",2.5,16.743179,-93.0695129,-93.0695129,16.743179,TRUE
"11",2,21.910617,-102.294539,-102.294539,21.910617,TRUE
"12",1.66,22.1427772,-100.9251103,-100.9251103,22.1427772,TRUE
"13",2.2,25.568464,-103.478674,-103.478674,25.568464,TRUE
"14",1.9,21.518586,-104.890011,-104.890011,21.518586,TRUE
"15",1.8,20.6547849,-103.3852311,-103.3852311,20.6547849,TRUE
"16",1.7,19.716678,-101.1713817,-101.1713817,19.716678,TRUE
"17",1.8,20.569206,-100.374362,-100.374362,20.569206,TRUE
"18",1.85,25.713604,-100.293373,-100.293373,25.713604,TRUE
"19",2.4,29.113553,-110.993066,-110.993066,29.113553,TRUE
"20",2.5,29.100077,-110.983362,-110.983362,29.100077,TRUE
"21",2.05,17.058189,-96.733523,-96.733523,17.058189,TRUE
"22",2,22.338288,-97.884668,-97.884668,22.338288,TRUE
"23",2.5,20.6511257,-101.3530952,-101.3530952,20.6511257,TRUE
"24",1.7,21.476964,-104.8597475,-104.8597475,21.476964,TRUE
"25",1.9,19.542693,-96.910143,-96.910143,19.542693,TRUE
"26",2.5,24.127441,-110.331162,-110.331162,24.127441,TRUE
"27",3.48566,21.8475186299199,-102.305481940695,-102.305481940695,21.8475186299199,TRUE
"28",3.48921,21.8475186299199,-102.305481940695,-102.305481940695,21.8475186299199,TRUE
"29",4.5,22.1321072252491,-102.09525596565,-102.09525596565,22.1321072252491,TRUE
