producto,precio_max,precio_frec,precio_min,fecha,destino,origen,edo_destino,obs
Maiz blanco,6.00,4.50,4.50,29/12/2010, central de abasto de tuxtla gutiérrez,chiapas,chiapas,
Maiz blanco,4.00,4.00,4.00,29/12/2010, central de abasto de chihuahua,chihuahua,chihuahua,COSTAL DE 50 KGS.
Maiz blanco,3.60,3.50,3.10,29/12/2010," central de abasto ""francisco villa""",durango,durango,El precio mínimo es para ventas por toneladas.
Maiz blanco,6.00,5.00,4.00,29/12/2010, módulo de abasto irapuato,guanajuato,guanajuato,
Maiz blanco,5.00,4.00,3.50,29/12/2010," mercado de abasto de celaya (""benito juárez"")",guanajuato,guanajuato,
Maiz blanco,3.50,3.33,3.33,29/12/2010, centro de abasto de san luis potosí,guanajuato,san luis potosí,
Maiz blanco,3.50,3.50,3.50,29/12/2010, central de abasto de ecatepec,hidalgo,méxico,
Maiz blanco,4.00,4.00,4.00,29/12/2010, mercado de abasto de guadalajara,jalisco,jalisco,
Maiz blanco,3.00,3.00,2.80,29/12/2010, mercado de abasto de querétaro,jalisco,querétaro,
Maiz blanco,3.50,3.30,3.20,29/12/2010, central de abasto de toluca,méxico,méxico,
Maiz blanco,3.80,3.80,3.80,29/12/2010, central de abasto de ecatepec,méxico,méxico,
Maiz blanco,4.10,4.00,3.80,29/12/2010, central de abasto de iztapalapa df,méxico,df,
Maiz blanco,4.00,4.00,3.40,29/12/2010, mercado de abasto de morelia,michoacán,michoacán,
Maiz blanco,5.00,5.00,4.50,29/12/2010, módulo de abasto de reynosa,nuevo león,tamaulipas,
Maiz blanco,4.50,3.80,3.70,29/12/2010, módulo de abasto de oaxaca,sinaloa,oaxaca,
Maiz blanco,4.00,4.00,3.80,29/12/2010, central de abasto de puebla,sinaloa,puebla,
Maiz blanco,3.50,3.50,3.40,29/12/2010, central de abasto de ecatepec,sinaloa,méxico,
Maiz blanco,4.20,4.10,4.00,29/12/2010, central de abasto de iztapalapa df,sinaloa,df,
Maiz blanco,4.90,4.60,4.50,29/12/2010, centro de distribución y abasto de gómez palacio,sinaloa,durango,
Maiz blanco,3.80,3.60,3.30,29/12/2010, central de abasto de león,sinaloa,guanajuato,
Maiz blanco,5.00,5.00,4.80,29/12/2010, unión de comerciantes de la paz,sinaloa,baja california sur,
Maiz blanco,4.80,4.50,4.50,29/12/2010," central de abasto de la laguna, torreón",sinaloa,coahuila,
Maiz blanco,4.13,4.00,4.00,29/12/2010, central de abasto de villahermosa,tabasco,tabasco,
Maiz blanco,4.50,4.20,4.00,29/12/2010," central de abasto de guadalupe, nvo. león",tamaulipas,nuevo león,
Maiz blanco,4.00,3.80,3.80,29/12/2010, central de abasto de minatitlán,veracruz,veracruz,
Maiz blanco,3.80,3.80,3.60,29/12/2010, otros centros mayoristas de xalapa,veracruz,veracruz,
Maiz blanco,3.80,3.80,3.80,29/12/2010, mercado de abasto de zacatecas,zacatecas,zacatecas,
Maiz blanco,4.14,3.80,3.70,31/12/2008, central de abasto de villahermosa,chiapas,tabasco,
Maiz blanco,4.00,4.00,4.00,31/12/2008, central de abasto de chihuahua,chihuahua,chihuahua,
Maiz blanco,3.80,3.80,3.80,31/12/2008," central de abasto ""francisco villa""",durango,durango,
Maiz blanco,3.50,3.50,3.50,31/12/2008, central de abasto de ecatepec,guanajuato,méxico,
Maiz blanco,4.00,3.90,3.90,31/12/2008, central de abasto de iztapalapa df,hidalgo,df,
Maiz blanco,3.90,3.90,3.90,31/12/2008, mercado de abasto de querétaro,jalisco,querétaro,
Maiz blanco,3.50,3.50,3.50,31/12/2008, central de abasto de culiacán,jalisco,sinaloa,
Maiz blanco,3.80,3.70,3.60,31/12/2008, central de abasto de toluca,méxico,méxico,
Maiz blanco,3.80,3.80,3.80,31/12/2008, central de abasto de ecatepec,méxico,méxico,
Maiz blanco,3.80,3.80,3.50,31/12/2008, mercado de abasto de morelia,michoacán,michoacán,
Maiz blanco,5.80,5.80,5.00,31/12/2008, central de abasto de puebla,puebla,puebla,
Maiz blanco,4.00,4.00,4.00,31/12/2008, central de abasto de mérida,sinaloa,yucatán,
Maiz blanco,3.80,3.60,3.54,31/12/2008, módulo de abasto de oaxaca,sinaloa,oaxaca,
Maiz blanco,4.00,4.00,3.90,31/12/2008, central de abasto de iztapalapa df,sinaloa,df,
Maiz blanco,4.40,4.40,4.40,31/12/2008, centro de distribución y abasto de gómez palacio,sinaloa,durango,
Maiz blanco,4.00,4.00,3.80,31/12/2008," central de abasto ""francisco villa""",sinaloa,durango,
Maiz blanco,4.00,4.00,4.00,31/12/2008, módulo de abasto irapuato,sinaloa,guanajuato,
Maiz blanco,5.50,5.50,5.50,31/12/2008, unión de comerciantes de la paz,sinaloa,baja california sur,
Maiz blanco,4.30,4.20,4.00,31/12/2008," central de abasto de la laguna, torreón",sinaloa,coahuila,
Maiz blanco,5.50,5.00,5.00,31/12/2008," mercado de abasto ""francisco i. madero"" de hermosillo",sonora,sonora,
Maiz blanco,4.50,4.00,3.80,31/12/2008," mercado de abasto ""estrella"" de san nicolás de los garza",tamaulipas,nuevo león,
Maiz blanco,4.15,4.15,4.15,31/12/2014, centro comercial agropecuario de aguascalientes,aguascalientes,aguascalientes,
Maiz blanco,4.20,4.20,4.20,31/12/2014, central de abasto de villahermosa,campeche,tabasco,
Maiz blanco,6.00,6.00,5.50,31/12/2014, central de abasto de mérida,campeche,yucatán,
Maiz blanco,5.50,5.50,5.50,31/12/2014, central de abasto de chihuahua,chihuahua,chihuahua,
Maiz blanco,7.00,6.00,6.00,31/12/2014, central de abasto de tuxtla gutiérrez,distrito federal,chiapas,
Maiz blanco,5.00,4.50,3.50,31/12/2014," central de abasto ""francisco villa""",durango,durango,"Precios por. Toneladas, kilogramo y bulto, en este orden."
Maiz blanco,5.00,4.00,4.00,31/12/2014, módulo de abasto irapuato,guanajuato,guanajuato,
Maiz blanco,5.00,4.50,4.00,31/12/2014," mercado de abasto de celaya (""benito juárez"")",guanajuato,guanajuato,
Maiz blanco,4.00,4.00,4.00,31/12/2014, mercado de abasto de zacatecas,guanajuato,zacatecas,
Maiz blanco,3.62,3.58,3.54,31/12/2014, centro de abasto de san luis potosí,guanajuato,san luis potosí,
Maiz blanco,4.00,4.00,4.00,31/12/2014, central de abasto de culiacán,jalisco,sinaloa,
Maiz blanco,4.00,4.00,4.00,31/12/2014, mercado de abasto de guadalajara,jalisco,jalisco,
Maiz blanco,8.50,8.00,8.00,31/12/2014, unión de comerciantes de la paz,jalisco,baja california sur,
Maiz blanco,5.00,4.80,4.80,31/12/2014, central de abasto de iztapalapa df,méxico,df,
Maiz blanco,3.80,3.60,3.50,31/12/2014, central de abasto de toluca,méxico,méxico,precio por toneleda
Maiz blanco,4.00,4.00,3.80,31/12/2014, mercado de abasto de morelia,michoacán,michoacán,
Maiz blanco,6.00,5.00,5.00,31/12/2014, módulo de abasto de reynosa,nuevo león,tamaulipas,
Maiz blanco,7.00,6.00,5.00,31/12/2014," módulo de abasto de tampico, madero y altamira",sinaloa,tamaulipas,
Maiz blanco,5.50,5.20,5.20,31/12/2014," mercado de abasto ""francisco i. madero"" de hermosillo",sinaloa,sonora,
Maiz blanco,6.00,5.00,5.00,31/12/2014, módulo de abasto de oaxaca,sinaloa,oaxaca,
Maiz blanco,5.20,5.20,4.00,31/12/2014, central de abasto de puebla,sinaloa,puebla,
Maiz blanco,3.60,3.50,3.40,31/12/2014, mercado de abasto de querétaro,sinaloa,querétaro,
Maiz blanco,5.14,4.50,4.50,31/12/2014, central de abasto de villahermosa,sinaloa,tabasco,
Maiz blanco,4.20,4.20,4.00,31/12/2014, mercado de abasto de morelia,sinaloa,michoacán,
Maiz blanco,4.50,4.50,4.40,31/12/2014, central de abasto de ecatepec,sinaloa,méxico,
Maiz blanco,5.00,5.00,4.80,31/12/2014, centro de distribución y abasto de gómez palacio,sinaloa,durango,
Maiz blanco,5.30,5.00,5.00,31/12/2014," central de abasto de la laguna, torreón",sinaloa,coahuila,
Maiz blanco,5.00,5.00,4.50,31/12/2014, central de abasto de león,sinaloa,guanajuato,
Maiz blanco,4.40,4.40,4.40,31/12/2014, central de abasto de villahermosa,tabasco,tabasco,
Maiz blanco,5.00,5.00,4.50,31/12/2014," mercado de abasto ""estrella"" de san nicolás de los garza",tamaulipas,nuevo león,
Maiz blanco,6.00,5.50,5.00,31/12/2014," central de abasto de guadalupe, nvo. león",tamaulipas,nuevo león,
Maiz blanco,4.40,4.40,4.20,31/12/2014, central de abasto de villahermosa,veracruz,tabasco,
Maiz blanco,5.00,4.50,4.50,31/12/2014, central de abasto de minatitlán,veracruz,veracruz,
Maiz blanco,5.00,4.50,4.50,31/12/2014, otros centros mayoristas de xalapa,veracruz,veracruz,
Maiz blanco,4.30,4.30,4.30,30/12/2015, centro comercial agropecuario de aguascalientes,aguascalientes,aguascalientes,
Maiz blanco,6.00,6.00,5.50,30/12/2015, central de abasto de mérida,campeche,yucatán,
Maiz blanco,4.60,4.60,4.60,30/12/2015, central de abasto de villahermosa,chiapas,tabasco,
Maiz blanco,7.00,6.50,6.50,30/12/2015, central de abasto de tuxtla gutiérrez,chiapas,chiapas,
Maiz blanco,5.50,5.50,5.50,30/12/2015, central de abasto de chihuahua,chihuahua,chihuahua,COSTAL DE 50 KGS.
Maiz blanco,4.50,4.00,4.00,30/12/2015," central de abasto ""francisco villa""",durango,durango,Los precios son: Mínimo por ton. Máximo por Kg y Frecuente por Bulto
Maiz blanco,4.50,4.50,4.40,30/12/2015, módulo de abasto irapuato,guanajuato,guanajuato,
Maiz blanco,5.00,5.00,4.20,30/12/2015," mercado de abasto de celaya (""benito juárez"")",guanajuato,guanajuato,
Maiz blanco,4.60,4.60,4.60,30/12/2015, mercado de abasto de zacatecas,guanajuato,zacatecas,
Maiz blanco,4.23,4.17,4.12,30/12/2015, centro de abasto de san luis potosí,guanajuato,san luis potosí,
Maiz blanco,5.00,5.00,5.00,30/12/2015, mercado de abasto de guadalajara,jalisco,jalisco,
Maiz blanco,8.00,7.00,7.00,30/12/2015, unión de comerciantes de la paz,jalisco,baja california sur,
Maiz blanco,4.50,4.50,4.30,30/12/2015, central de abasto de toluca,méxico,méxico,PRECIO POR TONELADA
Maiz blanco,4.10,4.10,4.00,30/12/2015, mercado de abasto de morelia,michoacán,michoacán,
Maiz blanco,5.00,5.00,4.50,30/12/2015, módulo de abasto de reynosa,nuevo león,tamaulipas,
Maiz blanco,4.70,4.70,4.70,30/12/2015, central de abasto de villahermosa,querétaro,tabasco,
Maiz blanco,4.70,4.70,4.60,30/12/2015, central de abasto de villahermosa,sinaloa,tabasco,
Maiz blanco,3.50,3.50,3.50,30/12/2015, central de abasto de culiacán,sinaloa,sinaloa,
Maiz blanco,5.20,5.00,5.00,30/12/2015," mercado de abasto ""francisco i. madero"" de hermosillo",sinaloa,sonora,
Maiz blanco,7.50,7.50,7.00,30/12/2015," módulo de abasto de tampico, madero y altamira",sinaloa,tamaulipas,
Maiz blanco,4.34,4.34,4.30,30/12/2015, mercado de abasto de morelia,sinaloa,michoacán,
Maiz blanco,5.00,5.00,4.00,30/12/2015, central de abasto de león,sinaloa,guanajuato,
Maiz blanco,5.00,5.00,4.50,30/12/2015, módulo de abasto de oaxaca,sinaloa,oaxaca,
Maiz blanco,5.90,5.90,5.20,30/12/2015, central de abasto de puebla,sinaloa,puebla,
Maiz blanco,4.30,4.20,4.00,30/12/2015, mercado de abasto de querétaro,sinaloa,querétaro,
Maiz blanco,5.50,5.00,5.00,30/12/2015, central de abasto de ecatepec,sinaloa,méxico,
Maiz blanco,5.00,4.90,4.90,30/12/2015," central de abasto de la laguna, torreón",sinaloa,coahuila,
Maiz blanco,5.40,5.20,5.00,30/12/2015, central de abasto de iztapalapa df,sinaloa,df,
Maiz blanco,5.30,5.20,5.20,30/12/2015, centro de distribución y abasto de gómez palacio,sinaloa,durango,
Maiz blanco,5.40,5.40,5.40,30/12/2015, central de abasto de villahermosa,tabasco,tabasco,
Maiz blanco,4.60,4.60,4.60,30/12/2015, central de abasto de villahermosa,tamaulipas,tabasco,
Maiz blanco,5.50,5.00,4.00,30/12/2015," mercado de abasto ""estrella"" de san nicolás de los garza",tamaulipas,nuevo león,
Maiz blanco,6.00,5.50,4.50,30/12/2015," central de abasto de guadalupe, nvo. león",tamaulipas,nuevo león,
Maiz blanco,4.70,4.50,4.40,30/12/2015, central de abasto de villahermosa,veracruz,tabasco,
Maiz blanco,8.00,8.00,7.00,30/12/2015," módulo de abasto de tampico, madero y altamira",veracruz,tamaulipas,
Maiz blanco,5.00,5.00,4.50,30/12/2015, central de abasto de minatitlán,veracruz,veracruz,
Maiz blanco,5.00,5.00,4.50,30/12/2015, otros centros mayoristas de xalapa,veracruz,veracruz,
Maiz blanco,4.50,4.00,4.00,30/12/2009, central de abasto de tuxtla gutiérrez,chiapas,chiapas,
Maiz blanco,4.00,4.00,4.00,30/12/2009, central de abasto de chihuahua,chihuahua,chihuahua,
Maiz blanco,3.70,3.50,3.50,30/12/2009, central de abasto de león,guanajuato,guanajuato,
Maiz blanco,4.00,4.00,4.00,30/12/2009, módulo de abasto irapuato,guanajuato,guanajuato,
Maiz blanco,3.00,2.80,2.80,30/12/2009," mercado de abasto de celaya (""benito juárez"")",guanajuato,guanajuato,
Maiz blanco,3.50,3.50,3.40,30/12/2009, central de abasto de ecatepec,hidalgo,méxico,
Maiz blanco,3.90,3.90,3.90,30/12/2009, mercado de abasto de querétaro,jalisco,querétaro,
Maiz blanco,3.80,3.80,3.80,30/12/2009, central de abasto de ecatepec,méxico,méxico,
Maiz blanco,3.30,3.30,3.20,30/12/2009, central de abasto de toluca,méxico,méxico,PRECIO POR TONELADA
Maiz blanco,4.00,3.80,3.70,30/12/2009, central de abasto de iztapalapa df,méxico,df,
Maiz blanco,6.00,6.00,4.00,30/12/2009, mercado de abasto de morelia,michoacán,michoacán,
Maiz blanco,4.20,4.10,3.90,30/12/2009," central de abasto de guadalupe, nvo. león",sinaloa,nuevo león,
Maiz blanco,4.50,4.00,3.70,30/12/2009, módulo de abasto de oaxaca,sinaloa,oaxaca,
Maiz blanco,4.00,4.00,3.80,30/12/2009, central de abasto de puebla,sinaloa,puebla,
Maiz blanco,3.70,3.70,3.70,30/12/2009, central de abasto de ecatepec,sinaloa,méxico,
Maiz blanco,5.50,4.80,4.80,30/12/2009, unión de comerciantes de la paz,sinaloa,baja california sur,
Maiz blanco,4.20,4.20,4.00,30/12/2009," central de abasto de la laguna, torreón",sinaloa,coahuila,
Maiz blanco,3.80,3.80,3.80,30/12/2009, central de abasto de iztapalapa df,sinaloa,df,
Maiz blanco,3.50,3.30,3.30,30/12/2009," central de abasto ""francisco villa""",sinaloa,durango,
Maiz blanco,5.00,4.00,4.00,30/12/2009," mercado de abasto ""estrella"" de san nicolás de los garza",tamaulipas,nuevo león,
Maiz blanco,3.80,3.60,3.60,30/12/2009, otros centros mayoristas de xalapa,veracruz,veracruz,
Maiz blanco,4.50,4.00,4.00,30/12/2009, central de abasto de mérida,yucatán,yucatán,
Maiz blanco,3.60,3.60,3.60,30/12/2009, mercado de abasto de zacatecas,zacatecas,zacatecas,
Maiz blanco,4.70,4.70,4.70,31/12/2013, centro comercial agropecuario de aguascalientes,aguascalientes,aguascalientes,
Maiz blanco,6.50,6.00,6.00,31/12/2013, central de abasto de mérida,campeche,yucatán,
Maiz blanco,4.40,4.30,4.20,31/12/2013, central de abasto de villahermosa,chiapas,tabasco,
Maiz blanco,6.00,6.00,6.00,31/12/2013, central de abasto de chihuahua,chihuahua,chihuahua,
Maiz blanco,6.50,6.50,6.00,31/12/2013, central de abasto de tuxtla gutiérrez,distrito federal,chiapas,
Maiz blanco,5.50,4.80,4.00,31/12/2013," central de abasto ""francisco villa""",durango,durango,"Por toneladas, por kilo y por bulto."
Maiz blanco,5.50,5.50,5.40,31/12/2013, módulo de abasto irapuato,guanajuato,guanajuato,
Maiz blanco,6.00,5.00,5.00,31/12/2013," mercado de abasto de celaya (""benito juárez"")",guanajuato,guanajuato,
Maiz blanco,3.81,3.75,3.70,31/12/2013, centro de abasto de san luis potosí,guanajuato,san luis potosí,
Maiz blanco,4.50,4.50,4.50,31/12/2013, mercado de abasto de guadalajara,importación,jalisco,
Maiz blanco,8.50,8.00,8.00,31/12/2013, unión de comerciantes de la paz,jalisco,baja california sur,
Maiz blanco,4.50,4.50,4.50,31/12/2013, central de abasto de culiacán,jalisco,sinaloa,
Maiz blanco,5.00,4.80,4.80,31/12/2013, central de abasto de toluca,méxico,méxico,por tonelada
Maiz blanco,4.00,4.00,3.80,31/12/2013, mercado de abasto de morelia,michoacán,michoacán,
Maiz blanco,5.80,5.50,4.95,31/12/2013, módulo de abasto de reynosa,nuevo león,tamaulipas,
Maiz blanco,5.80,5.80,5.50,31/12/2013," mercado de abasto ""francisco i. madero"" de hermosillo",sinaloa,sonora,
Maiz blanco,6.25,6.25,6.25,31/12/2013, central de abasto de villahermosa,sinaloa,tabasco,
Maiz blanco,7.00,6.00,5.00,31/12/2013," módulo de abasto de tampico, madero y altamira",sinaloa,tamaulipas,
Maiz blanco,6.00,5.00,5.00,31/12/2013, módulo de abasto de oaxaca,sinaloa,oaxaca,
Maiz blanco,5.00,4.50,4.50,31/12/2013, central de abasto de puebla,sinaloa,puebla,
Maiz blanco,4.00,4.00,3.90,31/12/2013, mercado de abasto de querétaro,sinaloa,querétaro,
Maiz blanco,5.80,5.80,5.20,31/12/2013, central de abasto de ecatepec,sinaloa,méxico,
Maiz blanco,6.00,5.80,5.80,31/12/2013," central de abasto de la laguna, torreón",sinaloa,coahuila,
Maiz blanco,6.00,6.00,5.00,31/12/2013, central de abasto de león,sinaloa,guanajuato,
Maiz blanco,5.20,5.00,4.70,31/12/2013, central de abasto de iztapalapa df,sinaloa,df,
Maiz blanco,6.10,6.00,6.00,31/12/2013, centro de distribución y abasto de gómez palacio,sinaloa,durango,
Maiz blanco,5.60,5.60,5.60,31/12/2013, central de abasto de villahermosa,tabasco,tabasco,
Maiz blanco,6.00,6.00,5.20,31/12/2013," mercado de abasto ""estrella"" de san nicolás de los garza",tamaulipas,nuevo león,
Maiz blanco,7.00,6.50,5.00,31/12/2013," central de abasto de guadalupe, nvo. león",tamaulipas,nuevo león,
Maiz blanco,5.20,5.00,5.00,31/12/2013, central de abasto de minatitlán,veracruz,veracruz,
Maiz blanco,5.20,5.00,5.00,31/12/2013, otros centros mayoristas de xalapa,veracruz,veracruz,
Maiz blanco,4.90,4.90,4.90,31/12/2013, mercado de abasto de zacatecas,zacatecas,zacatecas,
Maiz blanco,2.80,2.50,2.50,31/12/2003, centro comercial agropecuario de aguascalientes,aguascalientes,aguascalientes,
Maiz blanco,3.00,2.80,2.80,31/12/2003, unión de comerciantes de la paz,baja california sur,baja california sur,
Maiz blanco,3.00,3.00,3.00,31/12/2003, central de abasto de tuxtla gutiérrez,chiapas,chiapas,
Maiz blanco,3.20,3.00,2.80,31/12/2003," central de abasto de la laguna, torreón",chihuahua,coahuila,
Maiz blanco,3.00,2.90,2.70,31/12/2003, centro de distribución y abasto de gómez palacio,chihuahua,durango,
Maiz blanco,2.20,2.20,2.10,31/12/2003, central de abasto de pachuca,distrito federal,hidalgo,
Maiz blanco,2.05,2.00,2.00,31/12/2003," central de abasto ""francisco villa""",durango,durango,
Maiz blanco,2.20,2.00,2.00,31/12/2003, central de abasto de león,guanajuato,guanajuato,
Maiz blanco,2.50,2.50,2.50,31/12/2003, módulo de abasto irapuato,guanajuato,guanajuato,
Maiz blanco,2.30,2.20,2.20,31/12/2003, central de abasto de ecatepec,hidalgo,méxico,
Maiz blanco,2.00,2.00,2.00,31/12/2003, mercado de abasto de guadalajara,jalisco,jalisco,
Maiz blanco,3.00,2.60,2.60,31/12/2003, nayarabastos de tepic,jalisco,nayarit,
Maiz blanco,2.00,2.00,1.90,31/12/2003, mercado de abasto de querétaro,jalisco,querétaro,
Maiz blanco,2.20,2.20,1.70,31/12/2003, mercado de abasto de morelia,michoacán,michoacán,
Maiz blanco,2.40,2.00,2.00,31/12/2003, mercado de abasto 'adolfo lópez mateos' de tepic,nayarit,nayarit,gallinero                                                                                           
Maiz blanco,3.50,3.00,3.00,31/12/2003, módulo de abasto de oaxaca,sinaloa,oaxaca,
Maiz blanco,2.30,2.30,2.25,31/12/2003," central de abasto ""francisco villa""",sinaloa,durango,
Maiz blanco,2.40,2.40,2.30,31/12/2003, central de abasto de iztapalapa df,sinaloa,df,
Maiz blanco,3.00,3.00,3.00,31/12/2003, central de abasto de culiacán,sinaloa,sinaloa,
Maiz blanco,2.10,2.10,2.00,31/12/2003, otros centros mayoristas de xalapa,sinaloa,veracruz,
Maiz blanco,2.60,2.50,2.50,31/12/2003," mercado de abasto ""francisco i. madero"" de hermosillo",sonora,sonora,
Maiz blanco,2.50,2.50,2.25,31/12/2003," mercado de abasto ""estrella"" de san nicolás de los garza",tamaulipas,nuevo león,
Maiz blanco,3.00,3.00,2.20,31/12/2003," central de abasto de guadalupe, nvo. león",tamaulipas,nuevo león,
Maiz blanco,2.20,2.20,2.20,31/12/2003, central de abasto de puebla,tlaxcala,puebla,
Maiz blanco,2.50,2.00,2.00,31/12/2003," módulo de abasto de tampico, madero y altamira",veracruz,tamaulipas,
Maiz blanco,2.50,2.40,2.30,31/12/2003, central de abasto de mérida,yucatán,yucatán,
Maiz blanco,3.00,2.70,2.50,29/12/2004, centro comercial agropecuario de aguascalientes,aguascalientes,aguascalientes,
Maiz blanco,3.10,3.10,3.00,29/12/2004, unión de comerciantes de la paz,baja california sur,baja california sur,
Maiz blanco,3.00,3.00,2.40,29/12/2004," central de abasto de guadalupe, nvo. león",coahuila,nuevo león,
Maiz blanco,2.50,2.40,2.20,29/12/2004, módulo de abasto de oaxaca,chiapas,oaxaca,
Maiz blanco,3.50,3.50,3.50,29/12/2004, central de abasto de tuxtla gutiérrez,chiapas,chiapas,
Maiz blanco,2.50,2.40,2.40,29/12/2004, centro de distribución y abasto de gómez palacio,chihuahua,durango,
Maiz blanco,2.60,2.50,2.50,29/12/2004," central de abasto de la laguna, torreón",chihuahua,coahuila,
Maiz blanco,2.40,2.40,2.40,29/12/2004, central de abasto de chihuahua,chihuahua,chihuahua,
Maiz blanco,2.40,2.40,2.30,29/12/2004, central de abasto de pachuca,distrito federal,hidalgo,
Maiz blanco,2.50,2.50,2.50,29/12/2004, central de abasto de mérida,distrito federal,yucatán,
Maiz blanco,2.10,2.05,2.00,29/12/2004," central de abasto ""francisco villa""",durango,durango,
Maiz blanco,2.20,2.20,2.20,29/12/2004, central de abasto de león,guanajuato,guanajuato,
Maiz blanco,2.40,2.40,2.20,29/12/2004, módulo de abasto irapuato,guanajuato,guanajuato,
Maiz blanco,2.30,2.20,2.20,29/12/2004, central de abasto de ecatepec,hidalgo,méxico,
Maiz blanco,3.00,2.20,2.20,29/12/2004, mercado de abasto 'adolfo lópez mateos' de tepic,jalisco,nayarit,GALLINERO                                                                                           
Maiz blanco,2.20,2.00,2.00,29/12/2004, nayarabastos de tepic,jalisco,nayarit,GALLINERO                                                                                           
Maiz blanco,2.00,2.00,2.00,29/12/2004, mercado de abasto de guadalajara,jalisco,jalisco,
Maiz blanco,2.70,2.70,2.60,29/12/2004, mercado de abasto de querétaro,jalisco,querétaro,
Maiz blanco,2.50,2.50,2.30,29/12/2004, central de abasto de iztapalapa df,méxico,df,
Maiz blanco,2.30,2.30,2.00,29/12/2004, mercado de abasto de morelia,michoacán,michoacán,
Maiz blanco,2.15,2.15,2.10,29/12/2004," central de abasto ""francisco villa""",sinaloa,durango,
Maiz blanco,3.00,3.00,3.00,29/12/2004, central de abasto de culiacán,sinaloa,sinaloa,
Maiz blanco,2.90,2.90,2.80,29/12/2004," mercado de abasto ""francisco i. madero"" de hermosillo",sinaloa,sonora,
Maiz blanco,2.10,2.10,2.10,29/12/2004, otros centros mayoristas de xalapa,sinaloa,veracruz,
Maiz blanco,3.00,2.50,2.00,29/12/2004," mercado de abasto ""estrella"" de san nicolás de los garza",tamaulipas,nuevo león,
Maiz blanco,2.10,2.10,2.10,29/12/2004, central de abasto de puebla,tlaxcala,puebla,
Maiz blanco,2.50,2.00,2.00,29/12/2004," módulo de abasto de tampico, madero y altamira",veracruz,tamaulipas,
Maiz blanco,4.00,4.00,4.00,29/11/2006, central de abasto de tuxtla gutiérrez,chiapas,chiapas,
Maiz blanco,3.50,3.00,3.00,29/11/2006, módulo de abasto de oaxaca,chiapas,oaxaca,
Maiz blanco,2.71,2.54,2.54,29/11/2006, central de abasto de villahermosa,chiapas,tabasco,
Maiz blanco,2.90,2.80,2.80,29/11/2006," central de abasto de la laguna, torreón",chihuahua,coahuila,
Maiz blanco,2.50,2.50,2.50,29/11/2006, central de abasto de chihuahua,chihuahua,chihuahua,COSTAL DE 50 KGS
Maiz blanco,3.00,2.90,2.90,29/11/2006, centro de distribución y abasto de gómez palacio,chihuahua,durango,
Maiz blanco,3.00,3.00,3.00,29/11/2006, central de abasto de mérida,distrito federal,yucatán,
Maiz blanco,2.60,2.60,2.30,29/11/2006," central de abasto ""francisco villa""",durango,durango,El precio minimo aplica en ventas por toneladas.
Maiz blanco,3.20,3.00,3.00,29/11/2006, módulo de abasto irapuato,guanajuato,guanajuato,
Maiz blanco,3.00,2.80,2.80,29/11/2006, central de abasto de ecatepec,hidalgo,méxico,
Maiz blanco,2.70,2.70,2.70,29/11/2006, mercado de abasto de guadalajara,jalisco,jalisco,
Maiz blanco,2.50,2.50,2.40,29/11/2006, central de abasto de león,jalisco,guanajuato,
Maiz blanco,3.50,3.00,3.00,29/11/2006, mercado de abasto de querétaro,jalisco,querétaro,
Maiz blanco,3.50,3.40,3.40,29/11/2006, unión de comerciantes de la paz,jalisco,baja california sur,
Maiz blanco,2.50,2.50,2.30,29/11/2006, mercado de abasto de morelia,michoacán,michoacán,
Maiz blanco,3.30,3.00,3.00,29/11/2006, central de abasto de puebla,puebla,puebla,
Maiz blanco,2.80,2.80,2.80,29/11/2006, central de abasto de ecatepec,sinaloa,méxico,
Maiz blanco,3.00,3.00,2.90,29/11/2006, central de abasto de iztapalapa df,sinaloa,df,
Maiz blanco,3.40,2.90,2.40,29/11/2006, centro comercial agropecuario de aguascalientes,sinaloa,aguascalientes,
Maiz blanco,2.85,2.55,2.50,29/11/2006, centro de abasto de san luis potosí,sinaloa,san luis potosí,
Maiz blanco,3.50,3.00,2.50,29/11/2006, central de abasto de culiacán,sinaloa,sinaloa,
Maiz blanco,3.20,3.00,3.00,29/11/2006," mercado de abasto ""francisco i. madero"" de hermosillo",sonora,sonora,
Maiz blanco,3.60,3.30,3.10,29/11/2006," mercado de abasto ""estrella"" de san nicolás de los garza",tamaulipas,nuevo león,
Maiz blanco,3.50,3.20,3.20,29/11/2006," central de abasto de guadalupe, nvo. león",tamaulipas,nuevo león,
Maiz blanco,2.50,2.00,2.00,29/11/2006," módulo de abasto de tampico, madero y altamira",veracruz,tamaulipas,
Maiz blanco,2.70,2.70,2.70,29/11/2006, otros centros mayoristas de xalapa,veracruz,veracruz,
Maiz blanco,2.90,2.90,2.90,29/11/2006, mercado de abasto de zacatecas,zacatecas,zacatecas,
Maiz blanco,3.50,3.50,3.50,30/11/2005, central de abasto de tuxtla gutiérrez,chiapas,chiapas,
Maiz blanco,2.30,2.20,2.10,30/11/2005, módulo de abasto de oaxaca,chiapas,oaxaca,
Maiz blanco,2.60,2.50,2.50,30/11/2005, centro de distribución y abasto de gómez palacio,chihuahua,durango,
Maiz blanco,2.70,2.60,2.60,30/11/2005," central de abasto de la laguna, torreón",chihuahua,coahuila,
Maiz blanco,2.40,2.40,2.40,30/11/2005, central de abasto de chihuahua,chihuahua,chihuahua,COSTAL DE 50 KGS                                                                                    
