x	y	type
32	56	5
22	51	5
29	42	5
22	41	5
59	59	5
56	59	5
60	52	5
47	41	5
124	58	5
127	57	5
137	55	5
128	55	5
128	49	5
139	46	5
138	43	5
160	59	5
153	55	5
143	52	5
142	50	5
147	47	5
157	41	5
173	60	5
168	42	5
192	60	5
200	59	5
189	59	5
191	43	5
190	42	5
218	60	5
208	60	5
210	59	5
205	59	5
218	58	5
220	57	5
210	53	5
206	53	5
213	52	5
212	46	5
209	41	5
7	71	5
2	71	5
17	70	5
10	70	5
11	69	5
9	69	5
2	68	5
15	65	5
2	64	5
3	62	5
22	79	5
29	76	5
32	71	5
28	71	5
28	66	5
30	65	5
22	64	5
52	78	5
55	76	5
55	74	5
51	73	5
50	70	5
57	69	5
41	64	5
43	62	5
59	61	5
47	61	5
79	75	5
65	74	5
61	72	5
72	71	5
62	69	5
66	68	5
73	64	5
62	62	5
98	77	5
94	75	5
92	70	5
107	73	5
116	72	5
109	72	5
115	71	5
118	69	5
113	69	5
111	61	5
131	76	5
137	66	5
133	64	5
129	63	5
141	77	5
142	74	5
142	71	5
159	61	5
144	61	5
179	75	5
172	75	5
179	71	5
167	71	5
166	70	5
198	80	5
192	77	5
188	77	5
183	77	5
197	76	5
200	72	5
193	70	5
193	68	5
200	61	5
208	79	5
208	76	5
201	74	5
217	73	5
217	71	5
209	70	5
207	63	5
201	63	5
203	62	5
19	100	5
7	100	5
11	98	5
2	98	5
8	97	5
13	92	5
6	90	5
11	83	5
10	82	5
23	99	5
31	95	5
30	90	5
31	88	5
59	100	5
57	100	5
43	100	5
60	95	5
47	91	5
48	87	5
51	86	5
72	100	5
72	98	5
79	96	5
76	96	5
62	89	5
90	97	5
100	94	5
106	90	5
89	84	5
81	84	5
100	82	5
101	95	5
102	92	5
104	91	5
109	89	5
101	87	5
107	85	5
101	84	5
106	81	5
140	100	5
131	100	5
130	97	5
130	95	5
145	95	5
152	94	5
148	93	5
151	87	5
180	100	5
168	84	5
197	99	5
200	97	5
193	97	5
198	93	5
200	90	5
200	88	5
188	85	5
198	84	5
191	83	5
200	82	5
196	81	5
213	99	5
212	95	5
208	95	5
216	94	5
211	94	5
208	92	5
203	92	5
206	90	5
204	90	5
202	89	5
215	88	5
217	84	5
201	84	5
210	83	5
201	81	5
211	14	5
202	13	5
209	7	5
71	55	5
67	54	5
62	53	5
67	51	5
61	44	5
111	60	5
109	50	5
107	50	5
116	46	5
103	43	5
11	116	5
11	112	5
5	112	5
15	110	5
11	108	5
4	108	5
13	107	5
10	103	5
22	119	5
21	110	5
26	105	5
23	101	5
53	119	5
57	118	5
48	117	5
57	116	5
59	112	5
60	109	5
49	104	5
50	102	5
60	101	5
51	101	5
79	116	5
64	116	5
61	115	5
65	110	5
61	110	5
75	106	5
73	106	5
69	106	5
72	104	5
65	102	5
87	110	5
81	106	5
87	105	5
88	104	5
94	103	5
117	116	5
110	112	5
119	110	5
109	107	5
108	106	5
106	101	5
130	118	5
135	113	5
128	112	5
126	109	5
124	109	5
130	107	5
129	105	5
130	104	5
132	101	5
126	101	5
157	115	5
143	112	5
172	119	5
177	113	5
180	108	5
181	117	5
186	114	5
197	109	5
181	101	5
216	113	5
209	105	5
202	105	5
216	101	5
213	101	5
32	139	5
27	139	5
26	134	5
40	133	5
32	131	5
27	131	5
40	130	5
35	129	5
40	122	5
43	140	5
59	139	5
52	135	5
41	133	5
55	131	5
45	130	5
56	129	5
43	122	5
56	121	5
64	139	5
73	138	5
78	137	5
67	136	5
62	135	5
68	134	5
80	132	5
74	131	5
80	130	5
62	128	5
64	126	5
66	123	5
85	137	5
98	135	5
81	132	5
89	129	5
84	124	5
87	121	5
117	140	5
120	138	5
102	129	5
121	138	5
138	137	5
134	136	5
126	136	5
124	132	5
137	131	5
124	129	5
159	140	5
154	137	5
141	136	5
145	133	5
146	128	5
159	121	5
163	140	5
161	138	5
165	136	5
161	124	5
176	123	5
191	139	5
191	128	5
192	121	5
207	140	5
205	127	5
211	123	5
206	123	5
217	220	5
45	220	5
41	216	5
7	213	5
149	212	5
68	212	5
182	210	5
7	210	5
4	209	5
62	208	5
73	207	5
70	206	5
23	206	5
10	206	5
99	204	5
34	204	5
101	203	5
48	203	5
11	203	5
170	202	5
143	202	5
164	201	5
34	201	5
165	200	5
143	200	5
34	200	5
5	200	5
153	199	5
141	199	5
76	199	5
147	198	5
105	198	5
158	197	5
41	197	5
138	196	5
133	196	5
130	196	5
72	196	5
2	196	5
51	195	5
2	195	5
177	194	5
125	194	5
170	193	5
152	193	5
90	193	5
22	193	5
15	193	5
3	193	5
180	192	5
102	192	5
79	192	5
53	192	5
20	192	5
170	191	5
148	191	5
64	191	5
166	190	5
105	190	5
100	190	5
73	190	5
116	189	5
86	189	5
70	189	5
13	189	5
6	189	5
111	188	5
68	188	5
112	187	5
2	187	5
154	186	5
167	184	5
161	184	5
145	184	5
38	184	5
191	183	5
172	183	5
160	183	5
14	182	5
167	181	5
165	181	5
141	181	5
140	181	5
37	180	5
161	179	5
158	179	5
110	179	5
14	179	5
178	178	5
160	178	5
161	177	5
149	176	5
106	176	5
5	176	5
171	175	5
159	175	5
156	175	5
169	174	5
162	174	5
99	174	5
168	173	5
149	173	5
147	173	5
96	173	5
58	173	5
22	173	5
15	173	5
191	172	5
176	172	5
162	172	5
58	172	5
55	172	5
147	171	5
106	171	5
12	171	5
207	170	5
154	170	5
105	170	5
6	170	5
2	170	5
177	169	5
147	169	5
83	169	5
81	169	5
61	169	5
146	168	5
106	168	5
59	168	5
26	168	5
16	168	5
13	168	5
171	167	5
167	167	5
137	167	5
118	167	5
114	167	5
99	167	5
150	166	5
136	166	5
106	166	5
90	166	5
85	166	5
23	166	5
191	165	5
149	165	5
37	165	5
110	164	5
101	164	5
86	164	5
70	164	5
68	164	5
60	164	5
138	163	5
64	163	5
39	163	5
10	163	5
162	162	5
157	162	5
145	162	5
73	162	5
45	162	5
11	162	5
170	161	5
152	161	5
20	161	5
74	160	5
72	160	5
146	159	5
112	159	5
104	159	5
57	159	5
148	158	5
62	158	5
52	158	5
50	158	5
157	157	5
125	157	5
111	157	5
57	157	5
80	156	5
63	156	5
55	156	5
126	155	5
110	155	5
108	155	5
82	155	5
29	155	5
158	154	5
88	153	5
65	153	5
149	152	5
81	152	5
43	152	5
37	152	5
61	151	5
150	150	5
129	150	5
72	150	5
70	150	5
56	150	5
55	150	5
41	150	5
210	149	5
92	149	5
51	149	5
32	149	5
29	149	5
22	149	5
209	148	5
196	148	5
189	148	5
133	148	5
102	148	5
47	148	5
89	147	5
85	147	5
206	146	5
158	146	5
103	146	5
99	146	5
94	146	5
140	145	5
128	145	5
123	145	5
104	145	5
86	145	5
52	145	5
50	145	5
96	144	5
79	144	5
77	144	5
136	143	5
51	143	5
30	143	5
24	143	5
207	142	5
174	142	5
170	142	5
108	142	5
101	142	5
90	142	5
82	142	5
42	142	5
160	141	5
67	141	5
59	141	5
49	141	5
9	15	6
8	29	6
4	29	6
33	38	6
27	26	6
30	22	6
31	21	6
21	21	6
95	19	6
112	18	6
130	15	6
108	35	6
119	29	6
129	35	6
143	29	6
168	39	6
163	34	6
169	28	6
188	37	6
135	56	6
127	47	6
132	43	6
144	55	6
163	52	6
197	50	6
197	47	6
210	48	6
204	47	6
202	44	6
23	66	6
44	71	6
51	67	6
58	65	6
98	74	6
84	68	6
99	64	6
87	64	6
82	64	6
103	76	6
139	71	6
135	70	6
141	72	6
179	76	6
179	62	6
190	67	6
187	63	6
199	61	6
204	76	6
220	71	6
203	70	6
214	63	6
7	94	6
8	89	6
77	83	6
152	91	6
142	82	6
179	86	6
186	87	6
183	83	6
216	6	6
214	5	6
78	58	6
72	47	6
90	58	6
92	49	6
108	53	6
108	49	6
115	47	6
4	102	6
33	117	6
24	105	6
49	113	6
49	106	6
75	101	6
87	111	6
89	109	6
91	106	6
108	104	6
133	116	6
149	120	6
169	116	6
177	107	6
186	120	6
206	102	6
58	125	6
72	123	6
133	125	6
143	121	6
202	159	6
26	157	6
168	155	6
32	206	7
7	19	8
31	29	8
88	6	8
73	39	8
107	27	8
192	38	8
186	27	8
131	47	8
123	42	8
210	55	8
93	69	8
104	70	8
180	95	8
189	85	8
203	81	8
114	58	8
145	138	8
177	214	8
31	212	8
160	210	8
35	209	8
184	207	8
100	182	8
68	169	8
44	163	8
162	145	8
84	169	10
161	126	11
136	187	11
198	170	11
38	7	12
153	8	12
181	19	12
106	22	12
145	32	12
163	30	12
20	43	12
132	73	12
182	69	12
182	62	12
212	75	12
209	73	12
143	99	12
17	116	12
29	112	12
65	101	12
106	109	12
190	123	12
110	216	12
146	201	12
143	201	12
139	190	12
143	181	12
168	170	12
8	165	12
174	154	12
3	28	13
49	12	13
70	14	13
79	2	13
92	9	13
89	5	13
106	20	13
119	9	13
107	5	13
111	4	13
123	20	13
137	4	13
157	11	13
148	7	13
148	1	13
169	12	13
169	9	13
45	32	13
56	25	13
90	40	13
92	28	13
120	21	13
112	37	13
106	21	13
103	21	13
137	37	13
131	26	13
125	21	13
178	39	13
161	38	13
162	30	13
173	26	13
14	58	13
17	57	13
59	57	13
60	55	13
50	43	13
53	42	13
131	54	13
147	52	13
177	54	13
176	53	13
179	41	13
198	41	13
201	43	13
1	80	13
99	79	13
104	71	13
204	77	13
12	98	13
1	81	13
65	93	13
91	82	13
106	93	13
135	81	13
152	84	13
159	83	13
143	82	13
161	84	13
179	82	13
200	89	13
209	98	13
201	90	13
205	18	13
61	54	13
75	52	13
82	52	13
81	50	13
114	60	13
38	119	13
33	119	13
37	117	13
35	117	13
93	104	13
87	102	13
108	107	13
111	101	13
138	109	13
166	106	13
164	103	13
192	118	13
215	118	13
7	138	13
12	129	13
38	130	13
49	134	13
76	134	13
68	130	13
112	128	13
111	125	13
121	135	13
145	125	13
147	121	13
162	131	13
173	123	13
204	138	13
201	136	13
220	134	13
220	219	13
168	219	13
95	219	13
13	217	13
95	216	13
23	214	13
7	214	13
136	213	13
55	212	13
23	211	13
184	210	13
104	207	13
15	206	13
23	205	13
191	203	13
190	203	13
191	198	13
176	197	13
181	196	13
24	196	13
191	195	13
88	195	13
89	194	13
219	192	13
146	185	13
55	184	13
209	181	13
94	181	13
44	180	13
209	179	13
68	179	13
200	177	13
149	175	13
91	175	13
66	174	13
110	172	13
9	169	13
12	168	13
123	166	13
199	162	13
194	161	13
61	161	13
197	160	13
61	160	13
39	159	13
202	158	13
122	152	13
112	145	13
211	143	13
201	142	13
41	141	13
36	19	14
21	16	14
26	12	14
26	11	14
24	9	14
34	5	14
59	18	14
56	18	14
49	17	14
54	16	14
59	15	14
45	12	14
57	6	14
142	26	14
185	60	14
138	74	14
158	80	14
174	76	14
182	61	14
157	97	14
163	98	14
117	58	14
16	107	14
12	104	14
17	137	14
8	129	14
184	139	14
4	190	14
126	146	14
3	144	14
19	38	15
71	14	15
81	14	15
93	11	15
92	10	15
120	5	15
125	7	15
166	15	15
192	17	15
53	39	15
41	35	15
69	22	15
113	33	15
105	24	15
128	39	15
152	28	15
144	23	15
53	48	15
156	49	15
147	42	15
179	53	15
161	50	15
15	75	15
49	64	15
112	66	15
155	79	15
178	75	15
182	76	15
13	99	15
121	83	15
164	92	15
192	87	15
205	20	15
108	57	15
30	120	15
31	119	15
29	116	15
80	110	15
61	103	15
149	118	15
158	104	15
169	109	15
166	108	15
220	103	15
28	136	15
31	135	15
30	121	15
42	132	15
107	135	15
167	140	15
177	128	15
168	127	15
169	125	15
182	138	15
183	134	15
200	129	15
192	123	15
203	127	15
27	216	15
85	214	15
32	214	15
85	212	15
174	211	15
111	210	15
108	210	15
82	209	15
23	209	15
120	208	15
205	207	15
194	199	15
159	199	15
130	198	15
19	198	15
213	189	15
127	188	15
19	186	15
121	176	15
199	173	15
86	173	15
46	170	15
104	167	15
103	163	15
45	161	15
126	159	15
195	158	15
133	158	15
72	158	15
70	158	15
167	154	15
169	152	15
143	152	15
32	151	15
67	149	15
16	149	15
9	149	15
11	148	15
15	146	15
114	145	15
48	144	15
4	144	15
102	143	15
204	142	15
167	141	15
71	63	16
70	63	16
113	61	16
19	137	17
89	219	17
16	15	18
3	7	18
33	4	18
14	40	18
13	38	18
4	38	18
12	37	18
14	35	18
15	34	18
12	33	18
9	32	18
9	22	18
31	35	18
29	30	18
45	17	18
42	11	18
57	7	18
93	7	18
93	2	18
112	12	18
109	5	18
132	15	18
149	2	18
188	20	18
191	19	18
185	19	18
182	10	18
192	3	18
191	1	18
60	39	18
42	33	18
60	26	18
88	29	18
82	27	18
102	34	18
114	31	18
120	22	18
133	35	18
150	33	18
156	31	18
179	31	18
196	34	18
195	28	18
184	26	18
191	22	18
207	31	18
4	59	18
4	42	18
35	51	18
22	50	18
27	48	18
40	43	18
52	59	18
44	49	18
121	50	18
132	47	18
160	58	18
143	58	18
145	56	18
153	53	18
147	53	18
152	52	18
161	59	18
161	55	18
176	54	18
169	51	18
182	58	18
186	41	18
204	54	18
216	47	18
16	76	18
8	73	18
3	73	18
19	69	18
12	68	18
16	65	18
1	63	18
36	76	18
33	73	18
54	75	18
73	77	18
74	75	18
77	73	18
91	79	18
93	73	18
114	79	18
112	78	18
113	68	18
139	73	18
134	71	18
169	66	18
166	63	18
192	72	18
183	62	18
209	80	18
203	75	18
2	95	18
1	91	18
58	99	18
46	94	18
50	93	18
43	87	18
84	86	18
85	82	18
82	81	18
101	98	18
110	95	18
113	92	18
102	90	18
117	83	18
140	92	18
131	88	18
141	92	18
172	89	18
169	89	18
169	84	18
199	90	18
193	90	18
183	89	18
185	86	18
210	90	18
216	86	18
208	81	18
211	6	18
73	49	18
97	43	18
114	52	18
101	51	18
9	111	18
14	106	18
48	115	18
80	119	18
72	115	18
70	111	18
87	118	18
81	117	18
85	111	18
90	109	18
88	105	18
131	101	18
156	116	18
177	119	18
167	116	18
212	111	18
19	132	18
28	140	18
29	135	18
53	139	18
46	136	18
46	135	18
55	127	18
66	131	18
67	128	18
109	139	18
124	140	18
130	126	18
147	136	18
157	135	18
143	134	18
152	133	18
142	129	18
162	121	18
191	125	18
210	123	18
23	216	18
4	210	18
70	207	18
82	202	18
33	201	18
144	200	18
37	198	18
179	196	18
161	195	18
13	195	18
33	194	18
18	194	18
175	193	18
143	193	18
81	192	18
98	191	18
67	191	18
29	191	18
26	191	18
21	191	18
1	191	18
63	189	18
103	188	18
154	187	18
73	187	18
174	186	18
90	185	18
76	185	18
29	184	18
38	182	18
155	181	18
142	178	18
167	177	18
166	176	18
34	176	18
146	175	18
117	175	18
10	175	18
16	174	18
